基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2036DK",景順新興貨幣債券基金A-穩定月配息(澳幣對沖)股 澳幣,Invesco Emerging Local Currencies Debt Fund A-MD-1 (AUD Hgd) AUD,AUD,="LU1075213568",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2039AA",景順泛歐洲增長基金A股 歐元,Invesco European Growth Equity Fund A EUR,EUR,="LU0194779913",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2039CC",景順泛歐洲增長基金C股 歐元,Invesco European Growth Equity Fund C EUR,EUR,="LU0194780507",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048A7",景順歐洲指標增值基金A(美元對沖)股 美元,Invesco Pan European Structured Equity Fund A (USD Hgd) USD,USD,="LU1075211356",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048AA",景順歐洲指標增值基金A股 歐元,Invesco Pan European Structured Equity Fund A EUR,EUR,="LU0119750205",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048AD",景順歐洲指標增值基金A-穩定月配息(美元對沖)股 美元,Invesco Pan European Structured Equity Fund A-MD-1 (USD Hgd) USD,USD,="LU1297948280",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048CA",景順歐洲指標增值基金C(美元對沖)股 美元,Invesco Pan European Structured Equity Fund C (USD Hgd) USD,USD,="LU1252826281",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048CC",景順歐洲指標增值基金C股 歐元,Invesco Pan European Structured Equity Fund C EUR,EUR,="LU0119753134",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2048DQ",景順歐洲指標增值基金A(歐元投組對沖)股 歐元,Invesco Pan European Structured Equity Fund A (EUR portfolio hedged) EUR,EUR,="LU1075213998",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2057AA",景順歐元儲備基金A股 歐元,Invesco Euro Reserve Fund A EUR,EUR,="LU0102737730",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2057CC",景順歐元儲備基金C股 歐元,Invesco Euro Reserve Fund C EUR,EUR,="LU0102737904",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2060A6",景順能源基金A(歐元對沖)股 歐元,Invesco Energy Fund A(EUR Hgd) EUR,EUR,="LU0367024519",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
